"","s0","V2","V3"
"1",1.61413444128083,46843,0
"2",1.93820896264941,51897,0
"3",1.94055993354844,47147,5
"4",2.20779723278523,54521,0
"5",1.93820896264941,51967,0
"6",1.6117834703818,50691,0
"7",2.20636343391052,61810,0
"8",2.20636343391052,61721,10
"9",1.6117834703818,51960,0
"10",1.61525635491563,46034,0
"11",2.20636343391052,61694,0
"12",3.02827946920561,53819,0
"13",1.61297849584176,48871,0
"14",2.56330674477952,58650,0
"15",2.60374741223165,24530,10
"16",1.61297849584176,48777,0
"17",2.20636343391052,60617,0
"18",2.56609755668235,53816,0
"19",1.61297849584176,48837,0
"20",2.20636343391052,58611,0
"21",1.6117834703818,51686,0
"22",1.6117834703818,50425,0
"23",2.20779723278523,56904,0
"24",1.61525635491563,45570,0
"25",2.82281235541138,53950,0
"26",2.20779723278523,56522,5
"27",1.96508184800602,45277,0
"28",2.82546297755663,53020,0
"29",1.42320823368313,45164,5
"30",2.56177803626907,63385,10
"31",1.78005061464045,47081,0
"32",2.20636343391052,62071,0
"33",1.61413444128083,47500,0
"34",0.827123652976001,50818,2
"35",3.02692245617749,56859,0
"36",2.82281235541138,53971,0
"37",2.20636343391052,62943,0
"38",2.23630800391042,49400,0
"39",2.00269196296793,44539,0
"40",1.90190566679211,52722,5
"41",1.6117834703818,52036,0
"42",1.61621726944562,52308,5
"43",1.93820896264941,51578,0
"44",2.20636343391052,60772,0
"45",1.93820896264941,52504,0
"46",2.20636343391052,58583,0
"47",1.9616089634722,50395,5
"48",3.11991385907712,7517,0
"49",2.59478472089807,7713,0
"50",2.3187550000074,5973,0
"51",1.7272634307192,4547,0
"52",2.04210474117373,8953,0
"53",1.69221763929716,7650,5
"54",1.686297492549,10964,0
"55",2.21398589374514,7281,20
"56",1.9517769590317,12372,0
"57",2.52831541339189,13191,10
"58",2.27915686647596,12824,0
"59",2.30927263136588,12891,10
"60",2.28746236959574,12239,0
"61",1.67783360138382,13018,0
"62",2.26914892572416,15124,10
"63",1.66779785665438,15757,5
"64",1.10835482696321,11555,0
"65",2.63822177006658,12407,0
"66",1.67355668744854,14335,0
"67",1.66489064491143,16218,0
"68",2.26552410053401,16046,0
"69",1.6612265522333,17397,0
"70",2.2684263495438,15428,0
"71",2.2684263495438,15727,10
"72",2.0419189902911,15644,10
"73",2.2684263495438,15561,0
"74",2.71710088852772,15880,10
"75",2.30512987774772,10510,0
"76",2.27804432673318,10823,0
"77",2.90888885628738,9569,0
"78",2.72333082522347,12219,0
"79",2.61062648686988,20890,0
"80",1.46473087757484,19418,0
"81",2.24988562015091,23146,0
"82",2.24911912536341,23242,0
"83",2.24911912536341,23317,0
"84",1.65901021801069,18377,0
"85",1.66269645386178,16875,0
"86",1.66048934870503,17651,0
"87",1.69319195451872,10234,0
"88",1.66048934870503,17621,2
"89",1.66489064491143,16313,0
"90",2.60826340737456,14094,10
"91",1.64807509557469,16402,0
"92",1.47668419085769,9278,5
"93",1.68796495297095,12700,5
"94",1.6754856485561,10770,5
"95",1.62565953037835,10967,0
"96",2.1005340279423,14956,0
"97",2.28182405049227,13526,0
"98",2.49428022629266,16555,0
"99",2.89699919877976,12036,0
"100",3.08755157293606,15518,0
"101",3.08755157293606,15289,0
"102",2.63340060967205,1026,10
"103",1.65603171373713,20146,10
"104",1.65971341810085,19507,0
"105",1.66046551280095,19532,10
"106",1.65377842385663,20728,0
"107",1.65752447534932,18698,5
