"","s0","V2","V3"
"1",1.23810840043404,46843,0
"2",1.56941009055655,51897,0
"3",1.5744722363796,47147,5
"4",1.84906465859926,54521,0
"5",1.56941009055655,51967,0
"6",1.23009682097447,50691,0
"7",1.84773340715529,61810,0
"8",1.84773340715529,61721,10
"9",1.23009682097447,51960,0
"10",1.24204688797968,46034,0
"11",1.84773340715529,61694,0
"12",2.6970661348498,53819,0
"13",1.23412715878777,48871,0
"14",2.22337197248076,58650,0
"15",2.20019316650656,24530,10
"16",1.23412715878777,48777,0
"17",1.84773340715529,60617,0
"18",2.22193935901653,53816,0
"19",1.23412715878777,48837,0
"20",1.84773340715529,58611,0
"21",1.23009682097447,51686,0
"22",1.23009682097447,50425,0
"23",1.84906465859926,56904,0
"24",1.24204688797968,45570,0
"25",2.4906405789845,53950,0
"26",1.84906465859926,56522,5
"27",1.60092410677465,45277,0
"28",2.48608116523972,53020,0
"29",0.984138487570283,45164,5
"30",2.22414022145884,63385,10
"31",1.35912770146918,47081,0
"32",1.84773340715529,62071,0
"33",1.23810840043404,47500,0
"34",0.345859781088207,50818,2
"35",2.7007906092591,56859,0
"36",2.4906405789845,53971,0
"37",1.84773340715529,62943,0
"38",1.84812908872925,49400,0
"39",1.61517284840853,44539,0
"40",1.53171014632697,52722,5
"41",1.23009682097447,52036,0
"42",1.18109880990367,52308,5
"43",1.56941009055655,51578,0
"44",1.84773340715529,60772,0
"45",1.56941009055655,52504,0
"46",1.84773340715529,58583,0
"47",1.59370336048828,50395,5
"48",2.39767956431064,7517,0
"49",2.2571229311595,7713,0
"50",1.88449915595465,5973,0
"51",1.38632460306314,4547,0
"52",1.64303797932306,8953,0
"53",1.27324575480681,7650,5
"54",1.55890838777199,10964,0
"55",1.86752523962611,7281,20
"56",1.51411398978592,12372,0
"57",2.18435320140754,13191,10
"58",1.94128378097447,12824,0
"59",1.864993410916,12891,10
"60",1.858393563069,12239,0
"61",1.51792686385888,13018,0
"62",1.92696099679577,15124,10
"63",1.4699125643334,15757,5
"64",0.652263916330994,11555,0
"65",2.17864886416005,12407,0
"66",1.49737960823359,14335,0
"67",1.45614412187896,16218,0
"68",1.92182404256201,16046,0
"69",1.43889578186887,17397,0
"70",1.9259346299968,15428,0
"71",1.9259346299968,15727,10
"72",1.64442714635261,15644,10
"73",1.9259346299968,15561,0
"74",2.37452512270175,15880,10
"75",1.89818935285859,10510,0
"76",1.88992522661343,10823,0
"77",2.31382346663967,9569,0
"78",2.27769474346643,12219,0
"79",2.19595949235443,20890,0
"80",1.02344883834357,19418,0
"81",1.90007127061146,23146,0
"82",1.89902607692598,23242,0
"83",1.89902607692598,23317,0
"84",1.4285243169868,18377,0
"85",1.44580047542925,16875,0
"86",1.43544060500769,17651,0
"87",1.27502843548081,10234,0
"88",1.43544060500769,17621,2
"89",1.45614412187896,16313,0
"90",2.26701730919733,14094,10
"91",1.22079475574091,16402,0
"92",1.04248607652792,9278,5
"93",1.26943877555944,12700,5
"94",1.26620846157966,10770,5
"95",1.19107512335309,10967,0
"96",1.70528515217632,14956,0
"97",1.86015939638209,13526,0
"98",2.09469641051665,16555,0
"99",2.33976516791007,12036,0
"100",2.50838471553309,15518,0
"101",2.50838471553309,15289,0
"102",2.32270406842535,1026,10
"103",1.41466630984149,20146,10
"104",1.27249091916576,19507,0
"105",1.2336055081285,19532,10
"106",1.40424841762619,20728,0
"107",1.42159972236242,18698,5
"108",1.40424841762619,20975,0
"109",1.4181341521275,19087,0
"110",1.41466630984149,20270,0
"111",1.90839804902122,19676,0
"112",1.90528227046597,20747,5
"113",1.90736029040164,20338,0
"114",1.90839804902122,19942,0
"115",3.01856907036308,19733,0
"116",1.39380728188615,21926,0
"117",1.39032132230797,22586,5
"118",1.39032132230797,22866,5
"119",1.39032132230797,22765,0
"120",1.90111541976013,22424,0
"121",2.28801324712188,21709,0
"122",2.07311547049155,21876,15
"123",1.21770440335733,17433,5
"124",1.28017141099871,17967,0
"125",1.01815044204273,8870,10
"126",2.06247678700719,7490,0
"127",1.62354303370134,9022,0
"128",1.9135753189677,18037,0
"129",1.71697667318191,11471,0
"130",1.85000518011708,15337,10
"131",1.78637879670188,11444,0
"132",3.3874387480979,5290,25
"133",2.18712116048295,5552,0
"134",1.12120785979505,19023,0
"135",0.680384517949287,10409,0
"136",1.43198346911401,17742,0
"137",1.36933957494926,25240,0
"138",1.84773340715529,62315,0
"139",3.029116634965,60514,35
"140",1.89588383438767,24421,0
"141",1.37284498393576,24675,0
"142",1.36933957494926,25128,8
"143",2.20019316650656,24803,0
"144",1.37284498393576,24507,0
"145",1.36933957494926,25072,0
"146",1.06443046587222,19317,0
"147",0.701897139807377,7092,0
"148",0.97222188203237,2619,0
"149",1.08518334366402,18802,0
"150",2.19971885385983,24166,0
"151",2.20343334728089,23920,0
"152",1.59738789729337,24130,0
"153",2.34288299736085,23359,0
"154",1.37634684260607,23739,0
"155",1.37634684260607,24006,5
"156",1.37634684260607,23712,0
"157",1.37634684260607,23665,0
"158",1.41466630984149,19713,0
"159",1.72771101917555,9617,0
"160",1.39032132230797,22540,0
"161",1.39032132230797,22843,0
"162",1.59521641838627,22583,0
"163",1.39380728188615,21719,0
"164",1.39380728188615,21768,0
"165",1.39032132230797,22437,0
"166",1.39032132230797,22873,0
"167",1.38683240804923,23121,0
"168",1.39032132230797,22779,8
"169",1.42637790884779,22293,5
"170",1.90111541976013,22558,0
"171",1.96803746478446,22054,10
"172",1.90111541976013,22284,0
"173",2.72667887720703,23129,0
"174",2.25225014408066,21871,0
"175",2.40690036096063,22736,0
"176",1.4181341521275,19264,0
"177",1.41466630984149,19591,0
"178",1.27262745004542,20100,5
"179",1.42159972236242,18866,0
"180",1.09938449200909,10797,0
"181",1.32773295785896,5148,20
"182",0.941258263389464,6811,0
"183",1.43198346911401,18206,0
"184",1.13720512238401,17611,0
"185",1.23018332792677,4597,5
"186",1.40424841762619,21055,0
"187",1.41820028884299,9111,0
"188",1.19033512820385,997,5
"189",1.41466630984149,19632,0
"190",1.35666029462798,5955,5
"191",1.93654916660573,3697,10
"192",1.9135753189677,18182,0
"193",1.85581879041607,16017,0
"194",1.61212361650434,21082,0
"195",1.91460862463605,17538,10
"196",1.86482056871864,13883,0
"197",1.90839804902122,20034,0
"198",1.91150662329491,18658,5
"199",2.21506096014386,7803,20
"200",1.91667324927647,17373,0
"201",1.91047119159914,18838,0
"202",1.90528227046597,20659,0
"203",1.96920342156187,3689,25
"204",1.39516750493816,9099,0
"205",2.28755761769947,19687,0
"206",2.22573090030487,7873,0
"207",2.03366379656713,11365,10
"208",1.97724657708996,19891,0
"209",1.93803482273561,22370,0
"210",1.85458254268253,19452,10
"211",1.90943500794719,19107,0
